,Movie_ID,Review,Rating,Rate
1,1," interesting movie about an interracial couple who decide to go for the weekend to visit the girls parents the boyfriend chris starts noticing odd behaviors from the african americans house workers and what started as a fun relaxing weekend slowly turns into a living nightmare for him

the idea is original and interesting the acting was good by all but i felt that daniel kaluuya was not emotional enough and his reactions was too cold in many scenes but generally speaking the movie is well paced from all aspects yet i wont call this a horror in anyway to me its no more than a psychological suspense thrillerit gets tense but never scary

the movie has its share of racism that cant go unnoticed but its not too much mainly stereotypical yet i believe that the concept of the plot can executed on any race which clearly hinted in stephen roots final scene an open minded audience can go throw it enjoy it without any care for its racism
 out of  found this helpful was this review helpful sign in to vote
permalink",positive,9
2,2," i decided to see this film at the theater after hearing some of the hype which was basically that it is an excellent horror film that is told from the perspective of a black man

well i can see this would be truly the worst nightmare of a black man and really the worst nightmare for us all this is not a film that tries to make the viewer feel sorry for black people nor is it at all preachy but it is just a good old fashioned horror film with a fresh new setting im an old white guy by the way

the acting is wonderful and directing is amazing the film while mostly horror is actually completely hilarious in some parts making it the funniest and scariest movie i have seen in ages no easy feat it is a shame that the film will likely not be regarded in the company of academy award potential nominees because the directing and acting is honestly oscar worthy again no small feat for a horror movie that is also funny

in summary this is a must see at the theater and one of the best films of the year it is a fun ride that is very well done",positive,5
4,4," lets clear the air about this film its not a horror film its not a comedy what it is is a suspenseful thriller of the highest level worthy to be compared to hitchcock caliber the humor is there along with a few horror scenes but not enough to overshadow the main theme of the story the film hits all cylinders with almost no misfires as far as complaints that the film is racist it is not it would work just as well with an allblack or allwhite cast those complaints are from people who are uncomfortable with black people or interracial relationships and are letting it distract them from the narrative of the film i most certainly hope that it reaches the wider audience that it so richly deserves
 out of  found this helpful was this review helpful sign in to vote
permalink",positive,5
8,8, i was totally blown away by get out this is one of the best turns by an actor behind the camera i have ever seen jordan peele probably the timely social commentary is going to loom heavily when discussing the film however this shouldnt conceal the fact that this is a masterclass cinematic work that has been thought out to the very last detail it knows what it wants to say and how to say it balancing wildly contrasting tones and defeating potential clichés with stylistic bravura of course everything stems from a rock solid script where the plot points are cunningly engineered and then fleshed out in a disciplined and take no prisoners kind of way there is much to admire and enjoy here including some surreal imagery that is as stunning as it is disturbing always serving a purpose within the narrative there are also brilliant soundtrack choices and you get subtle nods at the masters that came before kubrick and wes craven specially the plot involves one of those frequently visited fish out of the water type of settings where its up to the director to make the most out of it which fortunately is the case here since you get plenty of real character development and a tight innuendo ridden dialogue that really gets under your skin all this together with the inspired camera work contributes to the success of this tricky enterprise as a whole kudos to all the actors for going all the way with the provocative premise considering that it could have totally backfired in less confident hands everything amounts to a deliciously wry slice of cinematic paranoia served with a side of cathartic humor that appropriately reflects the political times we are living in and make no mistake this is a true horror film that refuses to pull any punches if you thought that peele was just going for the laughs and the cheap scares you will get more than you bargained for get out will shock you silly and will make you think then you will want to watch it again and try to figure out how he pulled the trick,negative,1
10,10, short review if the races were switched as to whom was the predator and whom was the prey there would be national outrage and this would be a boycotted and hidden film there are limits in my personal opinion when you become too psychological too propagandizing in narratives that are inappropriate for society with an age that is strongly pushing an anticop racist and whiteprivilege tone i could not get past the obvious intentions to shape or at least strongly influence public thought towards problems that backroom backers seem to spare no opportunity to not be involved in to achieve societal perceptions i get tired of the double standards that exist where for some it is ok to unfairly demonize a race depending on which race it is i largely reject the anticipated arguments of lavish praise for efforts based on history that simply is not the present or simple artistic expression when america is a place where all methods of artistic expression or religious expression for that matter are equally protected and not shut up based on threat of violence advertiser boycotts or hate speech perhaps i might change my views this movie to me was as clear of an attempt to hide antiwhite propaganda under a guise and found the film to be disgusting and racist racism towards white people is not reverse racism the term alone being another evidence of how skewed society has become or somehow different than any racism towards any race this is racist plenty of films have been banned boycotted and protested for doing much less than the rampant antiwhite themes throughout this film and yet due to prevailing voices racism is indeed alive and well as the film broadly wishes to convince viewers of only not in the way intended by the production team,negative,1
11,11," in this era of disposable entertainment where we have no cultural memory and i fear no cultural future and people are living only for the next best thing is there no one who recognizes that this movie is almost a headon remake of ira levins the stepford wives  substitute racism for sexism and mix liberally no credit given to the original author the fact that not even the academy could recognize the wholly derivative plot shows how far we have fallen as a moviegoing public in all likelihood even jordan peale probably believes he wrote an original script he didnt and thats whats terrifying about get out
 out of  found this helpful was this review helpful sign in to vote
permalink",negative,1
12,12," a rip off of the skeleton key the fact that peele stood there at the academy awards all emotional in his speech acting like he wrote the script is ridiculous universal made both pictures thats why theres no plagiarism law suit its a good story tsk is a much better movie though and with the gender and ethnicity of the main characters switched white girl vs black family doing vodoo in the skeleton key and after oscars so white it hit the zeitgeist thats fine but best original screenplay for peele what a joke
 out of  found this helpful was this review helpful sign in to vote
permalink",negative,3
14,14," this movie is absolute garbage the only acting worth mentioning is the main characters and the overall plot seems to be written by an angry black teenager the racism theme you find here isnt anything related to the real world like  years a slave or django unchained i have no idea what granted peele an oscar for this film ive seen b movies much better than this and seeing someone go from comedy to director youd be  times better off watching a quiet place directed by john krasinski this movie left me feeling annoyed in the fact that ive wasted money and time on it even the emoji movie is more entertaining than get out save yourself and read a synopsis and skip the actual watching part  if i could give it
 out of  found this helpful was this review helpful sign in to vote
permalink",negative,2
17,17," horror tension mystery tension and racial tension blend together into a gripping and formidable nailbiter in get out the astonishing directorial debut of jordan peele the former half of the comedy duo key  peele has found a way to both honor and subvert the thriller and horror genres in a way thats unmistakably modern

in the tradition of the stepford wives with the twist of guess whos coming to dinner the story follows a young black man named chris daniel kaluuya who goes to meet his girlfriend roses allison williams parents at their fancy estate where things go from slightly uncomfortable in terms of chris being black to deeply messed up in one slow but inevitable fell swoop

with a creepy opening scene showing a different black man getting abducted in a peacefulseeming suburb the tone is set immediately that theres cause for concern luckily for chris rose is really sensitive to issues of race and prejudice and even when her parents bradley whitford and catherine keener or brother caleb landry jones seem to make chris blackness into a thing the two handle it as best as any interracial couple could the warning signs come in the form of the armitage familys black help maid georgina betty gabriel and groundskeeper walter marcus henderson whose behavior is anything but normal

peele sets a tone of creepiness largely with the help of composer michael abels also making his feature film debut the unpredictable nature of georgina and walter as characters the everincreasing suspicion of all the white characters and the way peele keeps you nervous about who or what is just outside the frame fuel the fear and paranoia as well as if not better than any horror movie featuring more overtly malevolent forces does

kaluuya in a role that will deservedly put him on the map gives a performance that will connect with viewers who identify with chris as a man trying to feel comfortable while out of his element experiencing strange things and those who truly understand chris experience as a man of color undergoing the very same events it would be fascinating to know the different ways a black viewer would experience the film compared to a white one but the most important thing is that everyone will identify with and feel for chris

when a little horror film debut like this one gets talents such as whitford keener and williams you know the script is good peele keeps up the air of mystery a long time even without packing in very many unexpected twists the awareness of something being wrong but not quite understanding what it going on or why despite getting new information is a real strength of peeles writing then of course theres the brilliant ways that race and the black experience make it into the film if that werent enough chris best friend lilrel howry provides comic relief in a way thats stereotypical yet peele uses him in unexpected ways so we get to benefit from peeles nose for comedy as well

not everything adds up by the end of get out but the film plays out in extremely satisfying fashion fans of horror and fans of thrillers who dont mind horror when its done well should both enjoy the technique and experience it provides thrills of the pulsepounding thrillseeking and thoughtprovoking variety and few genre films can say the same

steven c

thanks for reading visit movie muse reviews for more",negative,1
19,19," first of all in order for you to enjoy a horror movie you need to relate with the protagonist the main character in this movie keeps on the same dull and lifeless expression throughout most of the movie like he is constantly lost in his own thoughts even when someone comes out of the woods running at him full speed he remains there frozen staring into the void the plot twist is easy to anticipate early on this makes the second half of the movie boring and tedious actually you know who the bad guys are half hour in the movie its really easy since there are no good guys apparently finally this movie took the concept of skeleton key and replaced magic with science and blacks with whites

and if you ask why this movie has high ratings is because of modern politics every single white person is portrayed as evil and envious of black people in every aspect skin colour muscles talent even eyes thus critics gave it high ratings
 out of  found this helpful was this review helpful sign in to vote
permalink",positive,8
