date;time;transaction;quantity;item
30/10/2019;9:58:11;1;1;Bread
30/10/2019;10:05:34;2;2;Scandinavian
30/10/2019;10:05:34;2;3;Scandinavian
30/10/2019;10:07:57;3;1;Hot chocolate
30/10/2019;10:07:57;3;1;Jam
30/10/2019;10:07:57;3;1;Cookies
30/10/2019;10:08:41;4;2;Muffin
30/10/2019;10:13:03;5;2;Coffee
30/10/2019;10:13:03;5;2;Pastry
30/10/2019;10:13:03;5;1;Bread
30/10/2019;10:16:55;6;1;Medialuna
30/10/2019;10:16:55;6;1;Pastry
30/10/2019;10:16:55;6;3;Muffin
30/10/2019;10:19:12;7;3;Medialuna
30/10/2019;10:19:12;7;3;Pastry
30/10/2019;10:19:12;7;1;Coffee
30/10/2019;10:19:12;7;2;Tea
30/10/2019;10:20:51;8;1;Pastry
30/10/2019;10:20:51;8;1;Bread
30/10/2019;10:21:59;9;1;Bread
30/10/2019;10:21:59;9;1;Muffin
30/10/2019;10:25:58;10;1;Scandinavian
30/10/2019;10:25:58;10;1;Medialuna
30/10/2019;10:27:21;11;1;Bread
30/10/2019;10:27:21;11;1;Medialuna
30/10/2019;10:27:21;11;1;Bread
30/10/2019;10:27:21;11;1;NONE
30/10/2019;10:30:14;12;1;Jam
30/10/2019;10:30:14;12;1;Coffee
30/10/2019;10:30:14;12;1;Tartine
30/10/2019;10:30:14;12;1;Pastry
30/10/2019;10:30:14;12;1;Tea
30/10/2019;10:31:24;13;1;Basket
30/10/2019;10:31:24;13;1;Bread
30/10/2019;10:31:24;13;1;Coffee
30/10/2019;10:32:46;14;1;Bread
30/10/2019;10:32:46;14;1;Medialuna
30/10/2019;10:32:46;14;1;Pastry
30/10/2019;10:34:36;15;1;NONE
30/10/2019;10:34:36;15;1;NONE
30/10/2019;10:34:36;15;1;Mineral water
30/10/2019;10:34:36;15;1;Scandinavian
30/10/2019;10:37:08;16;1;Bread
30/10/2019;10:37:08;16;1;Medialuna
30/10/2019;10:37:08;16;1;Coffee
30/10/2019;10:38:04;17;1;Hot chocolate
30/10/2019;10:41:56;18;1;Farm House
30/10/2019;10:43:08;19;1;Farm House
30/10/2019;10:43:08;19;1;Bread
30/10/2019;10:45:22;20;1;Bread
30/10/2019;10:45:22;20;1;Medialuna
30/10/2019;10:49:29;21;1;Coffee
30/10/2019;10:49:29;21;1;Coffee
30/10/2019;10:49:29;21;1;Medialuna
